"","Measure.overall","Measure","Study","Tonal..n.","Comparison..N.","Tonal.Mean","Tonal.SD","Non.tonal.Mean","Non.tonal.SD","Cohen.s.D","Criteria","Measure.Description","Measure.Classification","Music.Lesson","Notes","Flip","Tonal_language","Comparison_language","sd_pool","cohen_d","total_n","hedge_g","se_smd","se_g","var_smd","var_g"
"1","Melodic discrimination","Melodic discrimination","Alexander et al. (2008)",14,14,NA,NA,NA,NA,0.93,"Sensitivity (d')","2 blocks of 48 five-note melodies; 2AFC; Different trials differed by different combinations of 4, 3, 2, or 1 notes","Melodic Discrimination","Minimal (less than 4.5 years), no significant differences between groups","Mann-Whiteney U = 140.5, p < 0.05; two-tailed t(21.86)= 2.45, p < 0.05, d = 0.93",NA,"Mandarin","English",NA,0.93,28,0.902912621359223,0.397871569371683,0.396755844358111,0.158301785714286,0.157415200032318
"2","Melodic comparison","Melodic comparison","Bradley (2016)",41,26,NA,NA,NA,NA,NA,"","Modified version of the Melodic Comparison subtest of the Musical Ear Test; piano melodies containing 3-8 notes at 100 bpm. Melodies presented in pairs, judge whether identical. Authors came up with the register test. 26 trials per condition with 13 violations each","","Some participants received musical training, but total years of training not significantly different across groups","They had a main linear regression result but also did Mann-Whiteney tests for different trial types. beta = 0.09, t = 3.32, p < 0.001; Comes from mixed effect model; not sure if this is standardized",NA,"Mandarin or Yoruba","English",NA,0.499978400009714,67,0.494187144411146,0.2560299013236,0.255909062307203,0.0655513103717726,0.0654894481709517
"3","Pitch discrimination","Pitch discrimination","Giuliano et al. (2011)",17,16,NA,NA,NA,NA,NA,"","two-tone sequences, first tone always C5; hear a pair and respond whether second tone is same or different; 130 same and 130 different trials","fine-tuned, tones","Both groups not significantly different in years of musical training","F(1, 31) = 7.7, p = 0.009, graph only has specific breakdowns by cents",NA,"Mandarin","English",NA,0.666407900274829,33,0.650154049048614,0.360120748464645,0.359566064855948,0.129686953474736,0.129287754995991
"4","Nonspeech pitch contour identification","Nonspeech pitch contour identification","Bent et al. (2006)",13,12,0.6399,0.2708,0.7028,0.2761,NA,"Mean correct %","sine waves that were either flat, rising or falling; tones change linearly in degrees of 5 to 50 Hz. 14 flat, rising or falling patterns, each presented 10 times; 210 flat and 210 sharp trials; participants indicate whether flat, rising, or falling ","Would be pitch if to include","Limited to little (>3 years) or no music experience","Analyzed separately based on interval pitch change direction, not sure which one to report",NA,"Mandarin","English",0.273347603992967,-0.230109937241734,25,-0.222523895354644,0.401640911662094,0.401555410792192,0.161315421920758,0.161246747936486
"5","Melodic tone discrimination","Melodic tone discrimination","Chang et al. (2016)",17,19,0.6,0.0101,0.67,0.0096,NA,"Discrimination Accuracy score P","two intervals (CXE and CX2E), 18 same pairs and 34 different pairs; X is a note altered from D","fine-tuned, interval","","",NA,"Mandarin","English",0.0098384599464371,-7.11493469314269,36,-6.95682503329507,0.902520109729349,0.885235235103411,0.814542548465876,0.783641421468592
"6","Nonspeech pitch discrimination","Nonspeech pitch discrimination","Bent et al. (2006)",13,12,NA,NA,NA,NA,NA,"","standard stimuli at 150 Hz, 16 target randing from 150.5 to 158 Hz in 0.5 steps.  Two-interval forced-choice task. Participants indicate whether higher frequency was presented in first or second interval; 320 trials","fine-tuned, interval","Limited to little (>3 years) or no music experience","No significant differences",TRUE,"Mandarin","English",NA,-0.606778189830752,25,-0.586774513242925,0.409558783334179,0.408966412649452,0.167738397006173,0.167253526675362
"7","F0 discrimination","F0 discrimination","Bidelman et al. (2011)",11,11,1.1455,0.241,1.3545,0.738,NA,"Discrimination threshold ","hear two sequential intervals, one contains a reference pitch, one contains a comparison (higher F0). Identify which interval had higher pitch","fine-tuned, interval","non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ","no significant differences; no stats reported, might need to extract from graph, T_se = 0.0728, NT_se = 0.2226",TRUE,"Mandarin","English",0.548964935127919,-0.38071648410713,22,-0.366258896103062,0.43024689110046,0.42996156220841,0.185112387301611,0.184866944976696
"8","Chordal detuning discrimination","Chordal detuning discrimination","Bidelman et al. (2011)",5,5,NA,NA,NA,NA,NA,"","100 pairs of chordal arpeggios; half contains chords with different thirds (major detuned up) half contains the same chord; participants judge whether the two are same; ""detect chordal detuning at a perceptual level""","Not sure, maybe fine-tuned, arpeggio","non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ","no significant differences observed; plot only has broken down by type of change",NA,"Mandarin","English",NA,1.01953521975944,10,0.920870521073045,0.676658580431019,0.668828883139172,0.457866834470921,0.447332074921192
"9","Interval discrimination","Interval discrimination","Giuliano et al. (2011)",16,16,NA,NA,NA,NA,NA,"","two pair of notes, first interval C5-G5; second interval F#5-C#6; on different trials C#6 altered by different cents of change; participants judge whether same or different; 160 no change trials and 240 change trials","fine-tuned, interval","both groups did not differ significantly in length of musical training","F(1, 30) = 1.574, p = 0.219; graph only has specific breakdowns by cents",NA,"Mandarin","English",NA,0.281495393077591,32,0.27439887056303,0.361924709446384,0.361516429198151,0.130989495307849,0.130694128580182
"10","Melody test","Melody test","Swaminathan et al (2021)",107,408,38.308,4.403,35.48,5.465,NA,"# correct responses","Part of MET. 52 trials, each piano melodic phase contains 3-8 notes, participants judge whether two phrases in a trial are identical","Melodic Discrimination ","396 had no private music lesson history; on average 2.6 years of private music lessons ","tonal native speakers performed significantly better, F(2, 513) = 10.71, p < 0.001; number of correct? ",NA,"Mandarin or Cantonese (mostly) vs English (mostly)","",5.26315541570117,0.537320253086855,515,0.536534314150111,0.109895762980057,0.109892034829253,0.0120770787209689,0.0120762593189138
